# saved 2026-06-14T21:21:03
# range_label=12mT_linearized
# --- characterization sweep ---
# verify(linearized) step_mm=0.100 window=11.0-24.0
Distance_mm,Reading_mV,SD_mV
0.000,317,3.32
0.100,316,3.05
0.200,317,3.46
0.300,317,3.15
0.400,316,3.04
0.500,316,2.97
0.600,315,2.97
0.700,315,3.64
0.800,315,2.61
0.900,316,2.86
1.000,316,6.61
1.100,316,2.77
1.200,316,3.23
1.300,316,2.88
1.400,316,3.00
1.500,316,3.31
1.600,316,3.83
1.700,316,3.06
1.800,316,2.92
1.900,316,2.74
2.000,316,2.83
2.100,316,4.95
2.200,316,2.97
2.300,316,3.08
2.400,316,3.79
2.500,316,2.96
2.600,316,5.40
2.700,316,2.93
2.800,316,2.90
2.900,316,2.94
3.000,316,2.85
3.100,316,3.01
3.200,317,7.12
3.300,317,3.18
3.400,316,2.99
3.500,316,3.78
3.600,316,3.00
3.700,316,3.04
3.800,316,5.79
3.900,317,3.01
4.000,316,2.92
4.100,315,7.85
4.200,316,3.22
4.300,316,3.00
4.400,316,3.07
4.500,316,2.95
4.600,316,2.82
4.700,316,3.90
4.800,316,4.00
4.900,316,2.93
5.000,316,3.04
5.100,317,3.58
5.200,317,3.03
5.300,316,2.87
5.400,317,2.92
5.500,317,3.15
5.600,316,3.22
5.700,317,3.81
5.800,316,2.80
5.900,317,3.05
6.000,316,5.42
6.100,316,3.00
6.200,316,2.94
6.300,316,2.88
6.400,317,4.00
6.500,316,2.89
6.600,316,3.13
6.700,317,3.06
6.800,316,2.84
6.900,316,2.87
7.000,316,3.13
7.100,317,3.00
7.200,317,2.97
7.300,316,6.90
7.400,316,2.88
7.500,316,2.98
7.600,316,3.92
7.700,316,2.98
7.800,316,2.97
7.900,316,3.20
8.000,316,2.94
8.100,317,5.28
8.200,316,3.67
8.300,317,3.20
8.400,316,2.91
8.500,316,3.24
8.600,316,8.16
8.700,316,3.14
8.800,316,3.09
8.900,316,3.46
9.000,316,3.80
9.100,316,2.87
9.200,316,3.72
9.300,316,2.91
9.400,316,6.99
9.500,316,2.88
9.600,317,3.36
9.700,316,2.93
9.800,316,3.77
9.900,317,3.00
10.000,316,2.82
10.100,316,3.11
10.200,317,3.67
10.300,316,2.63
10.400,316,3.23
10.500,316,3.00
10.600,316,5.42
10.700,316,3.27
10.800,327,5.48
10.900,358,4.57
11.000,387,4.63
11.100,413,4.15
11.200,433,3.28
11.300,446,2.68
11.400,460,5.50
11.500,473,3.19
