# saved 2026-06-13T21:24:08
# range_label=3mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,2844,3.78
0.100,2843,5.53
0.200,2843,5.53
0.300,2843,3.92
0.400,2843,3.53
0.500,2842,7.17
0.600,2843,4.80
0.700,2843,3.83
0.800,2843,4.31
0.900,2844,4.43
1.000,2843,3.85
1.100,2843,3.70
1.200,2843,3.59
1.300,2843,3.94
1.400,2842,6.84
1.500,2843,4.18
1.600,2842,3.64
1.700,2843,3.87
1.800,2843,3.96
1.900,2843,3.78
2.000,2843,3.72
2.100,2843,4.83
2.200,2843,3.76
2.300,2843,5.04
2.400,2842,3.87
2.500,2843,4.00
2.600,2843,3.91
2.700,2843,4.03
2.800,2843,4.55
2.900,2843,4.44
3.000,2843,3.39
3.100,2842,5.45
3.200,2844,3.67
3.300,2843,3.75
3.400,2843,3.64
3.500,2843,4.03
3.600,2842,5.22
3.700,2843,3.67
3.800,2842,4.01
3.900,2842,3.94
4.000,2842,4.03
4.100,2842,4.18
4.200,2843,5.78
4.300,2843,4.05
4.400,2843,4.05
4.500,2842,4.23
4.600,2842,3.98
4.700,2842,3.84
4.800,2843,3.99
4.900,2843,3.73
5.000,2843,3.81
5.100,2843,4.32
5.200,2843,4.22
5.300,2842,3.51
5.400,2843,4.14
5.500,2843,4.00
5.600,2842,6.28
5.700,2843,3.82
5.800,2842,4.18
5.900,2843,4.40
6.000,2843,3.96
6.100,2842,5.26
6.200,2842,4.04
6.300,2843,4.08
6.400,2843,3.73
6.500,2842,3.96
6.600,2842,5.72
6.700,2842,4.30
6.800,2843,4.75
6.900,2842,3.79
7.000,2842,4.93
7.100,2843,3.80
7.200,2842,3.87
7.300,2842,3.87
7.400,2842,3.44
7.500,2843,4.01
7.600,2842,3.73
7.700,2843,3.89
7.800,2843,4.14
7.900,2842,3.57
8.000,2843,3.92
8.100,2842,4.06
8.200,2842,3.70
8.300,2843,4.00
