# saved 2026-06-13T19:08:15
# range_label=div1p5_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,2359,5.95
0.100,2356,5.87
0.200,2355,5.90
0.300,2343,5.32
0.400,2325,6.32
0.500,2308,5.50
0.600,2292,5.66
0.700,2275,6.60
0.800,2252,11.34
0.900,2239,4.67
1.000,2226,5.62
1.100,2211,6.47
1.200,2198,5.84
1.300,2184,6.39
1.400,2172,6.10
1.500,2161,6.14
1.600,2154,5.37
1.700,2146,5.64
1.800,2134,5.92
1.900,2125,5.43
2.000,2115,6.12
2.100,2104,5.64
2.200,2094,5.38
2.300,2085,5.46
2.400,2075,5.61
2.500,2065,9.39
2.600,2056,5.88
2.700,2048,6.13
2.800,2039,5.61
2.900,2030,6.58
3.000,2022,7.56
3.100,2014,6.05
3.200,2006,6.20
3.300,1998,6.25
3.400,1992,5.85
3.500,1984,9.95
3.600,1984,7.05
3.700,1981,9.21
3.800,1976,6.00
3.900,1971,5.60
4.000,1965,5.80
4.100,1960,5.98
4.200,1953,5.71
4.300,1948,5.90
4.400,1943,6.96
4.500,1937,5.79
4.600,1931,5.48
4.700,1926,7.76
4.800,1922,5.73
4.900,1917,4.95
5.000,1912,5.38
5.100,1907,6.00
5.200,1903,6.25
5.300,1898,5.91
5.400,1894,5.63
5.500,1891,5.68
5.600,1886,5.30
5.700,1884,5.48
5.800,1881,5.63
5.900,1878,5.45
6.000,1874,6.09
6.100,1872,5.84
6.200,1869,5.53
6.300,1865,5.37
6.400,1862,7.40
6.500,1860,5.82
6.600,1857,5.65
6.700,1854,5.98
6.800,1851,8.47
6.900,1848,6.30
7.000,1845,6.19
7.100,1842,5.78
7.200,1839,5.67
7.300,1837,5.41
7.400,1835,6.92
7.500,1832,6.61
7.600,1829,7.17
7.700,1827,7.17
7.800,1823,7.42
7.900,1821,7.89
8.000,1819,9.68
8.100,1818,6.74
8.200,1816,6.44
8.300,1813,5.89
8.400,1811,5.08
8.500,1809,5.63
8.600,1807,5.60
8.700,1805,5.50
8.800,1804,5.80
8.900,1803,7.74
9.000,1800,6.22
9.100,1799,6.23
9.200,1797,6.08
9.300,1796,6.42
9.400,1794,6.28
9.500,1791,8.82
9.600,1791,5.76
9.700,1790,6.11
9.800,1788,6.18
9.900,1787,5.44
10.000,1785,4.90
10.100,1785,5.34
10.200,1783,6.36
10.300,1782,5.33
10.400,1781,5.30
10.500,1780,5.52
10.600,1779,6.44
10.700,1778,5.28
10.800,1777,5.42
10.900,1776,5.45
11.000,1775,5.93
11.100,1774,5.55
11.200,1771,5.88
11.300,1771,8.51
11.400,1770,6.19
11.500,1769,5.82
11.600,1769,5.35
11.700,1767,5.49
11.800,1767,5.87
11.900,1766,5.89
12.000,1765,5.52
12.100,1764,5.78
12.200,1764,5.59
12.300,1764,5.78
12.400,1764,5.77
12.500,1762,5.45
12.600,1760,7.95
12.700,1761,5.26
12.800,1760,5.55
12.900,1759,5.33
13.000,1758,6.38
13.100,1758,5.65
13.200,1757,5.91
13.300,1756,5.70
13.400,1755,5.29
13.500,1755,6.20
13.600,1754,6.11
13.700,1754,10.80
13.800,1753,6.29
13.900,1753,5.82
14.000,1752,6.41
14.100,1752,5.55
14.200,1751,7.45
14.300,1751,5.56
14.400,1750,5.92
14.500,1750,6.15
14.600,1749,6.23
14.700,1749,5.96
14.800,1749,5.90
14.900,1748,6.30
15.000,1748,6.95
15.100,1748,6.00
15.200,1747,6.17
15.300,1746,6.07
15.400,1745,8.30
15.500,1745,7.20
15.600,1744,6.46
15.700,1745,8.27
15.800,1744,6.73
15.900,1743,6.56
16.000,1742,6.86
16.100,1743,6.08
16.200,1742,6.96
16.300,1741,6.11
16.400,1742,5.98
16.500,1742,6.14
16.600,1739,9.95
16.700,1740,6.12
16.800,1740,7.07
16.900,1739,6.08
17.000,1739,5.78
17.100,1739,6.24
17.200,1739,6.96
17.300,1738,5.81
17.400,1738,6.08
17.500,1737,6.17
17.600,1737,6.02
17.700,1737,6.37
17.800,1737,6.01
17.900,1737,5.56
18.000,1735,6.22
18.100,1736,5.65
18.200,1736,6.69
18.300,1736,6.19
18.400,1735,5.93
18.500,1735,5.38
18.600,1734,5.70
18.700,1734,7.23
18.800,1735,6.15
18.900,1733,5.53
19.000,1734,5.28
19.100,1734,5.35
19.200,1733,5.00
19.300,1733,5.15
19.400,1733,5.10
19.500,1732,7.85
19.600,1732,5.88
19.700,1733,5.40
19.800,1732,5.08
19.900,1732,5.07
20.000,1732,6.05
20.100,1732,5.62
20.200,1731,6.12
20.300,1731,5.33
20.400,1731,5.70
20.500,1730,5.08
20.600,1731,5.37
20.700,1731,5.41
20.800,1731,5.49
20.900,1730,6.07
21.000,1730,8.38
21.100,1730,5.70
21.200,1729,5.35
21.300,1730,6.01
21.400,1729,5.27
21.500,1728,6.34
21.600,1729,5.53
21.700,1729,5.59
21.800,1728,5.40
21.900,1728,5.73
22.000,1729,5.10
22.100,1729,5.46
22.200,1728,5.48
22.300,1728,5.94
22.400,1728,5.39
22.500,1727,5.30
22.600,1727,6.30
22.700,1728,5.53
22.800,1727,5.70
22.900,1727,5.17
23.000,1726,5.60
23.100,1727,5.36
23.200,1726,7.99
23.300,1727,5.76
23.400,1727,5.98
23.500,1727,5.54
23.600,1726,6.74
23.700,1727,7.71
23.800,1725,5.82
23.900,1726,5.75
24.000,1725,6.36
24.100,1726,5.60
24.200,1726,5.87
24.300,1725,5.64
24.400,1725,5.78
24.500,1725,7.55
24.600,1725,6.96
24.700,1726,5.51
24.800,1725,5.87
24.900,1723,5.58
25.000,1723,5.51
25.100,1724,5.84
25.200,1724,6.06
25.300,1723,5.68
25.400,1724,7.82
25.500,1725,6.22
25.600,1725,5.43
25.700,1724,5.53
25.800,1724,5.38
25.900,1724,5.87
26.000,1724,6.21
26.100,1724,5.49
26.200,1724,5.97
26.300,1724,5.42
26.400,1723,5.72
26.500,1723,5.74
26.600,1723,5.93
26.700,1723,5.44
26.800,1722,6.61
26.900,1722,5.20
27.000,1723,5.53
27.100,1724,5.51
27.200,1723,5.71
27.300,1722,5.86
27.400,1722,6.67
27.500,1722,9.38
27.600,1721,8.07
27.700,1722,5.88
27.800,1722,5.89
27.900,1721,5.43
28.000,1720,8.71
28.100,1721,6.71
28.200,1722,5.75
28.300,1722,5.51
28.400,1722,6.34
28.500,1722,5.59
28.600,1722,6.17
28.700,1723,5.76
28.800,1722,9.47
28.900,1722,5.18
29.000,1721,5.75
29.100,1721,5.72
29.200,1721,5.56
29.300,1721,5.71
29.400,1721,6.67
29.500,1722,5.37
29.600,1721,5.83
29.700,1720,5.48
29.800,1721,5.19
29.900,1721,5.79
30.000,1721,5.83
30.100,1720,5.74
30.200,1721,5.44
30.300,1720,5.67
30.400,1720,5.56
30.500,1721,5.97
30.600,1721,5.60
30.700,1720,5.90
30.800,1721,5.63
30.900,1721,5.73
31.000,1720,8.35
31.100,1721,5.12
31.200,1720,5.68
31.300,1720,6.68
31.400,1719,9.17
31.500,1719,5.41
31.600,1719,6.56
31.700,1720,5.68
31.800,1720,5.78
31.900,1719,6.10
32.000,1719,6.02
32.100,1719,5.83
32.200,1720,5.42
32.300,1720,5.36
32.400,1720,5.47
32.500,1720,5.93
32.600,1719,6.58
32.700,1720,5.65
32.800,1720,6.24
32.900,1719,6.04
33.000,1720,5.95
33.100,1720,5.42
33.200,1719,5.60
33.300,1720,5.60
33.400,1720,5.59
33.500,1720,6.28
33.600,1718,8.21
33.700,1719,6.18
33.800,1719,5.69
33.900,1719,5.45
34.000,1719,6.06
34.100,1719,5.81
34.200,1718,8.15
34.300,1719,5.83
34.400,1719,5.94
34.500,1719,5.72
34.600,1719,6.10
34.700,1719,5.84
34.800,1718,7.24
34.900,1719,5.92
35.000,1719,5.88
35.100,1718,9.61
35.200,1719,5.52
35.300,1719,5.62
35.400,1719,5.79
35.500,1718,5.54
35.600,1719,8.19
35.700,1719,6.16
35.800,1718,7.06
35.900,1718,5.93
36.000,1719,6.18
36.100,1719,5.67
36.200,1719,5.40
36.300,1717,7.91
36.400,1718,5.87
36.500,1717,11.75
36.600,1719,6.07
36.700,1718,5.55
36.800,1718,5.92
36.900,1718,5.55
37.000,1718,5.74
37.100,1717,7.28
37.200,1717,6.09
37.300,1717,5.67
37.400,1717,6.41
37.500,1718,5.59
37.600,1718,5.80
37.700,1718,5.71
37.800,1718,5.80
37.900,1717,5.41
38.000,1717,8.44
38.100,1718,5.26
38.200,1718,9.20
38.300,1717,6.16
38.400,1718,7.01
38.500,1717,5.44
38.600,1716,5.54
38.700,1718,7.13
38.800,1717,6.09
38.900,1718,5.43
39.000,1718,6.75
39.100,1717,7.47
39.200,1717,5.58
39.300,1717,5.68
39.400,1716,5.36
39.500,1717,6.11
39.600,1717,6.17
39.700,1717,6.11
39.800,1717,5.58
39.900,1718,5.81
40.000,1717,5.62
40.100,1717,5.82
40.200,1717,5.85
40.300,1717,5.36
40.400,1716,5.65
40.500,1717,5.37
40.600,1717,6.18
40.700,1717,6.56
40.800,1717,6.65
40.900,1716,5.99
41.000,1717,5.53
41.100,1717,7.13
41.200,1716,5.45
41.300,1717,5.48
41.400,1717,6.04
41.500,1717,5.71
41.600,1717,5.34
41.700,1717,5.95
41.800,1717,5.81
41.900,1716,5.78
42.000,1717,5.59
42.100,1716,5.96
42.200,1716,5.20
42.300,1715,10.68
42.400,1717,6.22
42.500,1716,5.77
42.600,1717,6.03
42.700,1717,6.18
42.800,1717,6.21
42.900,1716,5.73
43.000,1717,5.37
43.100,1716,6.97
43.200,1716,5.69
43.300,1717,5.78
43.400,1716,6.49
43.500,1716,6.84
43.600,1716,6.33
43.700,1716,6.08
43.800,1716,5.93
43.900,1715,5.92
44.000,1716,5.77
44.100,1716,6.24
44.200,1716,5.76
44.300,1716,7.92
44.400,1715,6.44
44.500,1716,6.04
44.600,1716,5.71
44.700,1717,6.26
44.800,1717,5.97
44.900,1716,5.70
45.000,1716,5.84
45.100,1716,5.63
45.200,1716,5.98
45.300,1715,5.86
45.400,1716,6.34
45.500,1715,5.38
45.600,1715,8.04
45.700,1715,6.08
45.800,1715,8.95
45.900,1716,5.49
46.000,1716,6.06
46.100,1716,6.30
46.200,1715,6.17
46.300,1716,6.05
46.400,1716,6.03
46.500,1716,6.21
46.600,1716,5.61
46.700,1716,6.04
46.800,1715,8.94
46.900,1715,5.59
47.000,1715,5.58
47.100,1716,5.58
47.200,1715,5.99
47.300,1716,6.18
47.400,1716,5.80
47.500,1716,6.15
47.600,1716,6.19
47.700,1715,5.51
47.800,1716,5.99
47.900,1714,10.26
48.000,1716,6.45
48.100,1715,5.44
48.200,1715,5.16
48.300,1715,5.70
48.400,1716,5.73
48.500,1715,5.96
48.600,1715,5.57
48.700,1715,5.98
48.800,1715,5.55
48.900,1715,5.76
49.000,1715,6.06
49.100,1715,6.12
49.200,1716,6.09
49.300,1715,5.85
49.400,1715,5.75
49.500,1715,6.73
49.600,1715,6.50
49.700,1714,7.13
49.800,1715,6.00
49.900,1715,5.47
50.000,1716,6.14
50.100,1715,5.63
50.200,1715,6.56
50.300,1715,6.05
50.400,1716,5.95
50.500,1714,7.16
50.600,1715,8.32
50.700,1714,6.78
50.800,1715,5.78
50.900,1715,5.61
51.000,1716,5.78
51.100,1715,5.70
51.200,1716,5.94
51.300,1716,6.24
51.400,1716,5.30
51.500,1716,5.20
51.600,1716,6.26
51.700,1715,5.93
51.800,1716,5.79
51.900,1716,5.86
52.000,1715,6.11
52.100,1715,6.85
52.200,1715,6.21
52.300,1715,8.47
52.400,1716,5.94
52.500,1714,5.16
52.600,1715,6.30
52.700,1716,5.29
52.800,1716,6.38
52.900,1714,5.69
53.000,1715,5.49
53.100,1715,6.90
53.200,1715,5.68
53.300,1715,5.89
53.400,1716,6.59
53.500,1716,5.94
53.600,1716,5.70
53.700,1715,6.20
53.800,1715,5.71
53.900,1715,5.84
54.000,1716,6.03
54.100,1715,6.09
54.200,1716,5.82
54.300,1715,5.67
54.400,1715,5.72
54.500,1715,5.56
54.600,1715,5.71
54.700,1715,5.75
54.800,1715,5.88
54.900,1715,7.11
55.000,1716,5.93
55.100,1715,6.02
55.200,1715,5.47
55.300,1715,5.81
55.400,1715,5.72
55.500,1715,5.75
55.600,1715,5.68
55.700,1715,6.23
55.800,1715,5.96
55.900,1715,7.47
56.000,1715,5.54
56.100,1716,5.35
56.200,1716,5.65
56.300,1716,5.76
56.400,1716,5.43
56.500,1716,6.05
56.600,1716,5.65
56.700,1715,5.85
56.800,1715,6.03
56.900,1716,5.87
57.000,1716,5.90
57.100,1715,5.37
57.200,1715,5.82
57.300,1715,5.80
57.400,1715,6.68
57.500,1715,5.79
57.600,1715,5.45
57.700,1715,5.88
57.800,1716,6.13
57.900,1716,5.31
58.000,1715,5.84
58.100,1716,5.90
58.200,1716,5.75
58.300,1715,5.87
58.400,1716,5.76
58.500,1715,6.02
58.600,1715,6.23
58.700,1715,5.88
58.800,1715,6.23
58.900,1715,5.95
59.000,1716,5.71
59.100,1714,5.60
59.200,1715,5.89
59.300,1715,5.42
59.400,1715,5.72
59.500,1715,8.28
59.600,1715,5.95
59.700,1715,7.30
59.800,1715,5.97
59.900,1715,5.80
60.000,1716,5.88
60.100,1715,6.02
60.200,1715,5.81
60.300,1715,5.74
60.400,1715,5.54
60.500,1715,5.90
60.600,1716,5.88
60.700,1716,7.79
60.800,1716,5.84
60.900,1716,4.85
61.000,1715,5.65
61.100,1714,5.53
61.200,1715,5.64
61.300,1715,5.87
61.400,1715,5.76
61.500,1715,6.02
