# saved 2026-06-13T19:31:51
# range_label=div2_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,1764,5.81
0.100,1763,17.67
0.200,1763,7.57
0.300,1750,5.96
0.400,1735,6.31
0.500,1722,5.87
0.600,1710,6.39
0.700,1700,5.15
0.800,1687,6.07
0.900,1675,17.34
1.000,1665,6.39
1.100,1653,11.69
1.200,1643,9.51
1.300,1633,6.01
1.400,1626,6.76
1.500,1618,5.92
1.600,1610,5.84
1.700,1601,10.73
1.800,1593,6.18
1.900,1582,5.74
2.000,1575,5.77
2.100,1568,5.41
2.200,1560,5.61
2.300,1553,5.17
2.400,1545,9.67
2.500,1539,6.59
2.600,1532,6.43
2.700,1525,5.69
2.800,1520,5.47
2.900,1514,5.57
3.000,1508,6.51
3.100,1502,15.52
3.200,1497,5.44
3.300,1494,5.24
3.400,1488,10.22
3.500,1482,23.03
3.600,1479,7.29
3.700,1475,5.40
3.800,1470,5.41
3.900,1466,6.52
4.000,1462,5.41
4.100,1458,5.62
4.200,1454,20.15
4.300,1450,6.16
4.400,1446,11.08
4.500,1443,5.21
4.600,1439,5.78
4.700,1437,6.48
4.800,1432,9.88
4.900,1429,6.32
5.000,1425,8.42
5.100,1421,9.34
5.200,1417,9.94
5.300,1411,9.74
5.400,1408,9.99
5.500,1405,7.14
5.600,1403,5.41
5.700,1400,14.28
5.800,1399,3.87
5.900,1398,4.22
6.000,1396,5.46
6.100,1393,6.04
6.200,1391,8.88
6.300,1389,5.09
6.400,1388,6.30
6.500,1385,7.05
6.600,1383,5.64
6.700,1381,6.50
6.800,1379,5.77
6.900,1377,5.82
7.000,1374,11.31
7.100,1373,6.17
7.200,1371,8.41
7.300,1370,5.56
7.400,1369,5.86
7.500,1367,5.39
7.600,1365,5.21
7.700,1364,5.23
7.800,1362,5.91
7.900,1360,5.26
8.000,1360,5.87
8.100,1358,10.58
8.200,1357,5.80
8.300,1356,5.57
8.400,1354,5.92
8.500,1353,5.41
8.600,1352,8.08
8.700,1351,4.94
8.800,1349,5.65
8.900,1348,6.18
9.000,1347,7.87
9.100,1347,5.94
9.200,1344,13.15
9.300,1344,7.56
9.400,1342,15.22
9.500,1341,12.70
9.600,1341,6.15
9.700,1340,6.35
9.800,1339,11.71
9.900,1339,6.05
10.000,1337,12.32
10.100,1337,6.01
